Question,Answer
ماذا افعل عداد المياه معطل,يمكنك مراجعة أقرب مكتب لخدمة العملاء وتقديم معاملة فحص عداد
يوجد عطل في عداد المي ماذا افعل,يمكنك مراجعة أقرب مكتب لخدمة العملاء وتقديم معاملة فحص عداد
اذا كنت أشك بدقة عداد منزلي ما الذي يتوجب علي فعله ,يمكنك مراجعة أقرب مكتب لخدمة العملاء وتقديم معاملة فحص عداد
تركيب هواية ,يمكنك مراجعة أقرب مكتب لخدمة العملاء وتقديم معاملة تركيب هواية بشرط تأمين الهواية من قبلكم 
كيف يمكنني تركيب هوايه قبل العداد ,يمكنك مراجعة أقرب مكتب لخدمة العملاء وتقديم معاملة تركيب هواية بشرط تأمين الهواية من قبلكم 
أرغب بتركيب هواية قبل العداد، ماذا يتوجب علي فعله,يمكنك مراجعة أقرب مكتب لخدمة العملاء وتقديم معاملة تركيب هواية بشرط تأمين الهواية من قبلكم 
هل يمكن تغير موقع العداد,نعم يمكنك ذلك من خلال مراجعه أقرب مكتب خدمة لديك وتقديم طلب لنقل العداد ويشترط حضور صاحب العلاقة شخصياً أو من يحمل تفويض مصدق من البنك 
هل يمكنني نقل العداد من مكانه ,نعم يمكنك ذلك من خلال مراجعه أقرب مكتب خدمة لديك وتقديم طلب لنقل العداد ويشترط حضور صاحب العلاقة شخصياً أو من يحمل تفويض مصدق من البنك 
هل يحق لي نقل عداد من قطعة الى اخرى ,"لا, لا يجوز نقل العداد من قطعة الى اخرى "
هل تسعيرة المياه على العدادات الرقمية الجديدة تختلف عن العدادات القديمة,لا، التسعيرة موحدة.
هل مختبرات الشركة معتمدة وما نوع الإعتماد الحاصلة عليه,نعم، مختبرات الشركة حاصلة على الإعتمادين الوطني والدولي لعدد كبير من الفحوصات المنفذة لديها .
كيف تتأكد الشركة من نوعية المياه المضخوخة للمواطنين,تتأكد الشركة من نوعية المياه المضخوخة للمواطنين من خلال تنفيذ مجموعة من البرامج الرقابية على مصادر المياه والشبكات بحيث يتم جمع وتحليل عينات من هذه المواقع وإجراء الفحوصات في مختبرات الشركة.
كيف يمكن الإبلاغ عن حالات عدم التأكد من نوعية الياه المضخوخة للمواطنين,عن طريق تقديم شكوى بخصوص نوعية المياه.
هل يتم مراقبة نوعية المياه بشكل مستمر,يتم اخضاع المياه المضخوخة للمواطنين لبرامج رقابية مكثفة تشمل اجراء فحوصات فيزيائية وكيميائية . ومايكروبيولوجية ومن أكثر من جهة رقابية.
هل تقدم مختبرات الشركة خدمة فحص نوعية المياه وما اسعار هذه الخدمة,"نعم، تقدم مختبرات الشركة خدمة فحص نوعية المياه للزبائن وبأسعار محددة حسب المحدد المطلوب فحصه، حسب الرابط التالي ""أسعار الخدمات المخبرية"""
كيف يمكن إجراء الفحوصات لدى مختبرات الشركة والحصول على النتائج؟,عن طريق تقديم طلب بالفحوصات المطلوبة لشركة مياهنا  وبعد الموافقة على تنفيذ الفحوصات المطلوبة يتم الحصول على نتائج الفحوصات بعد تسديد المطالبات المالية المتعلقة بذلك .
كيف يمكن معرفة اوقات الضخ في منطقتي؟,يوجد خدمة على الموقع الالكتروني، الرجاء تتبع الرابط .
ارغب بترك العقار وإلغاء اشتراك المياه هل يتوجب علي الحضور شخصياً ؟,الحضور شخصياً او شخص يحمل تفويض مصدق من البنك .
ما الاوراق المطلوبة لمعاملة تحويل اشتراك ؟,"يتوجب أولاً حضورك شخصياً أو مفوض بنكي, واحضار عقد إيجار  أو سند تسجيل للعقار  بالاضافة الى فاتورة للاشتراك المراد تحويله على ان تكون الذمم مسدده ."
أرغب بالسفر وإيقاف العداد مؤقتاً، ماذا افعل وماهي المدة المسموحة لدي ؟,"يمكنك تقديم معاملة تعليق اشتراك, وايقاف استخدام العداد لمدة لا تتجاوز 3 سنوات ."
أود استرداد الرصيد الموجود في حسابي ؟,يمكنكم تقديم معاملة استرداد رصيد دائن في اقرب مكتب خدمة لديكم.
"الفاتورة مرتفعه جداً , ماذا أفعل ؟",يمكنك مراجعة أقرب مكتب خدمة لديكم وتقديم اعتراض على الفاتورة.
كيف يمكنني معرفة موعد القراءة لدي ؟,يمكنك الاتصال على الرقم 065679141 فرعي 2 والاستفسار عن مواعيد القراءة .
لدي مشكلة وارغب بالتحدث مع موظف من الشركة ؟,يمكنك الاتصال على الرقم 065679141 فرعي 2 والتحدث مع ممثل مركز الاتصال .او الاتصال على مركز الشكاوي الموحد 117116.
ماهي خيارات الدفع المتوفرة لديكم ؟,1. التسديد من خلال مكاتب التحصيل المتوفرة . 2. التسديد عبر مكاتب البريد المنتشرة . 3. التسديد من خلال خدمة efawateercom. 4. التسديد للجباة. 5. التسديد في البنوك.
كل متـــــى تصدر الفاتوره ؟,تصدر الفاتوره كل ثلاثة اشهر .
ماهو المبلغ الثابت ؟,هو قيمه اقرتها وزارة المياه بدل خدمات مسانده تقدمها شركة مياهنا ويغطي كلفة الخدمات الإدارية غير المرتبطة بكمية الاستهلاك.
في حال تم الغاء العداد، متى أسترد تأميناتي ؟,مراجعة الشركة بعد 30  يوماً من تاريخ رفع العداد، مع ارفاق:  1. صورة عن هوية صاحب العداد. 2. كشف حساب. 3. في حال تعذر حضور صاحب الاشتراك يمكن حضور شخص آخر بشرط وجود تفويض من البنك.
متى يتم تحويل ذمم الاشتراكات الى التحصيل بموجب قانون الاموال الاميرية؟,عندما يتم اتخاذ كافة اجراءات التحصيل المتبعة بالشركة و التي تنتهي بحجب الخدمة، و بعد مضي 6  شهور على الحجب دون التسديد يتم تطبيق اجراءات التحصيل بموجب قانون الاموال الاميرية .
كيف يتأكد المورد اذا ما كان الشيك جاهز؟,اما بالاتصال على الرقم 065666111 فرعي 1618، أو:  يمكن للمورد تسجيل الدخول على الموقع الالكتروني / شاشة الموردين / ادخال اسم المورد و الرقم الذي سيتم تزويده به من قبل مياهنا.
ما الوثائق المطلوبه عند استلام شيكات الموردين؟,في حال لم تكن دفعة نهائية يتم طلب سند قبض، و في حال عدم وجوده يُطلب: 1. هوية المستلم. 2. ختم الشركة.  في حال كانت دفعة نهائية يتم طلب مخالصة تتضمن : 1. صورة عن السجل التجاري.  2. سند قبض. 3. ختم الشركة. 4. نموذج مخالصة ( من مياهنا ) مختوم و موقع من صاحب السجل التجاري.
متى يتم تسليم الشيكات ؟,يومي الاثنين و الخميس.
ما هي الفترة الزمنية اللازمة لتجهيز الشيك؟,من يومين الى ثلاث أيام عمل.
كيف يمكن التواصل مع مركز الشكاوي وفي اي وقت يتوفر الرد على الشكوى؟,الاتصال على الرقم 117116 وهو رقم مجاني وباي وقت يتم استقبال الشكوى .
ما هو سبب عدم وصول المياه الينا ؟,اما انها مفصوله بسبب تراكم اثمان مياه او لوجود خلل فني ويطلب منه مراجعه مديرية الصيانه والتشغيل .
ما سبب وجود لون أبيض للمياه وكذلك وجود فقاعات فيها ؟,ممكن أن يكون بسبب ضغط المياه داخل شبكة التوزيع وتزول الفقاعات بعد ثواني قليلة .
ماسبب تغير لون المياه أحيانا احمر أو بني ؟,ممكن أن يكون بسبب نظام التوزيع وانقطاع المياه حيث يتكون الصدأ في الانابيب المعدنية وعند بداية الضخ يظهر هذا اللون وتصبح المياه صافية لا لون لها بعد (5 -10 ) دقائق من الضخ .
لماذا طعم المياه مختلف عن طعم المياه المحلاة او المفلترة ؟,المياه المحلاة أو المفلترة تكون تركيز الاملاح فيها اقل من مياه الشبكة .
ما سبب وجود شوائب واتربة احيانا في المياه المضخوخة ؟,ممكن أن تتجمع الترسبات والشوائب والاتربة في نهايات الخطوط والناتجة عن اصلاح الخطوط أو عمل الصيانة لها او بسبب الضخ وتوقف الضخ حسب برنامج التوزيع .
ما سبب وجود رائحة للمياه أحيانا ؟,ممكن ان يكون سببها الكلور المعقم للمياه او اسباب داخلية كاستخدام انابيب او خزانات بلاستيكية جديدة .
ماهي المواد المسموح بالقائها بشبكة الصرف الصحي ؟,المياه المسموح بها هي  المياه العادمة المنزلية ( المطبخ والحمامات )  ولا يسمح بمخلفات مياه المحاجر والمسالخ والمياه العادمه الصناعية وايضا مخلفات محطات تشحيم السيارات.
كيف يمكن التنبؤ سابقا فيضان الصرف الصحي المنزلي ؟,يتم ذلك عن طريق مراقبة ارتفاع منسوب المصارف الداخلية للمطبخ والحمامات او عن طريق وجود انبعاث روائح كريهه في الصرف الصحي.
من هي الجهه المسؤوله عن عبارات تصريف مياه الامطار وما هي مسؤولية شركة مياهنا ؟,الجهة المسؤوله عن عبارات وخطوط تصريف  مياه الامطار هي امانة عمان ولاتتبع لشركة مياهنا.
من الجهه المسؤوله عن الحفر الامتصاصية ؟,ان الجهة المسؤوله عن كل ما يتعلق بالحفر الامتصاصية هي امانة عمان ولا علاقة لشركة مياهنا بالموضوع  .
هل يوجد حق للمواطن بتمرير خط الصرف الصحي من داخل ارض مواطن اخر ؟,يكون ذلك اذا كان هناك اتفاق خطي بين المجاورين وتعهد خطي والتوقيع عليه  من قبلهم بالسماح بتمرير الخط ويكون نسخه منه في ملف المعاملة شركة مياهنا - ملف المواطن.
كيف نسطيع ان نحدد شكوى فيضان الصرف الصحي هل هي داخلية ام خارجية وهل يترتب على ذلك رسوم؟,الشكوى الخارجية هي فيضان الصرف الصحي في الشوراع الرئيسيه  والفرعيه ولا يترتب عليها اي رسوم ام الداخلية هي فيضان الصرف الصحي داخل سور العماره ولا يكون هناك اي فيضان في الشارع الرئيسي  فهي من مسؤولية المواطن ويترتب عليها رسوم لخروج الاجهزه الفنيه لمعالجتها  بقمية 50 دينار.
هل يجوز شبك صرف صحي على محطة ابو نصير بعد ان يتم تحويلها الى محطة رفع؟,نعم،  يتم الشبك على المحطة واسئناف كافة معاملات الشبك بعد ان تم ايقافها منذ عام 2013.
اين يتم تقديم نقل خطوط صرف صحي؟,في ادارة الخدمات الفنية / شركة مياهنا / جبل الحسين.
ما هو الاستعمال غير المشروع ؟,هو الانتفاع بجلب المياه واستخدامها بطريقة غير مشروعة ومخالفة لانظمة وتعليمات شركة مياه الاردن وسلطة المياه اما بسحب خط قبل ساعة عد المياه او بالعبث بعداد المياه وملحقاته.
كيف يتم الابلاغ عن حالة استعمال غير مشروع ؟,يتم الابلاغ عن الاستعملات غير المشروعة عبر الاتصال في الرقم الموحد لمركز الشكاوي 116117 او مراجعة اي من مكاتب شركة مياهنا وابلاغ المعنيين.
في حال ابلاغي عن استعمال غير مشروع ، هل تكون معلوماتي الشخصية سرية ؟,الابلاغ عن اي شخص او جهة تقوم باستعمال وجلب المياه بطريقة غير مشروعة هو واجب وطني للحفاظ على المياه وتحسين خدمة ايصال المياه لمستحقيها من زبائن الشركة وتعتبر معلومات الجهة المبلغة عن الاستعمالات غير المشروعة معلومات سرية ولا يتم عرضها في اي جهة.
ما هي عقوبة الاستعمال غير المشروع ؟,عملا باحكام المادة 177 من قانون اصول المحاكم الجزائية فإن عقوبة الاستعمال غير المشروع الحبس لمدة 4 شهور و غرامة 1000 دينار مع دفع مبالغ الاستعمالات غير المشروعة و تصويب الوضع .
لدي تهريب في شبكة المياه الداخلية ما هو دور شركة مياهنا ؟,يمكن للشركة وعبر كوادرها المختصة المساعدة في كشف التسربات الداخلية لدى زبائن الشركة ويكون ذلك مقابل مبالغ رمزية لسد التكاليف.
ما اهمية الابلاغ عن كسر في الشارع ؟,ان المياه هي كنز وثروة وطنية مشتركة لجميع المواطنين والابلاغ عن الكسور يساهم في تخفيض الفاقد وبالتالي زيادة كميات التوزيع وتحسين الخدمة. كما انه يمنع حدوث التلوثات في شبكة المياه.
ما هي الوثائق المطلوب إحضارها لتقديم طلب اشتراك مياه جديد؟,1. صورة عن الهوية الشخصية. 2. إذن اشغال. 3. مخطط موقع تنظيمي. 4. مخطط اراضي. 5. سند تسجيل.
هل يشترط حضور صاحب المعاملة شخصيا لتقديم طلب الأشتراك؟,نعم، و في حال تعذر حضوره يجب احضار تفويض بنكي.
كم تكاليف الاشتراك بعداد مياه جديد؟,حسب نوع التنظيم وحجم العقار ونوع التزويد .
ما هي المدة الزمنية اللازمة لاستكمال تنفيذ المعاملة ؟,14 يوم للوصلة المنزلية و30 يوم لخط المياه وذلك من تاريخ دفع الرسوم .
اسباب التأخر في تنفيذ المياه وتجاوز الفترة الزمنية المحددة؟,عدم استكمال التصاريح اللازمة للتنفيذ (تصاريح الحفر) .
اين يتم تقديم نقل خطوط المياه؟,في إدارة العمليات /شركة مياهنا.
متى يتم تنفيذ خطوط المياه ضمن المعاملات أكثر من 500 م؟,في حال توفر المخصصات المالية.
يوجد خط مياه أمام العقار لماذا لم يتم إعداد الدراسة منه,"يتم إعداد الدراسة الفنية لخدمة المياه وحسب نوع العقار (عمارة , شقة , بيت , شركة....) وليس بالضرورة أن يتم الخدمة من الخط الموجود امام العقار حيث تتم الدراسة حسب معايير فنية لتأكد من وصول المياه."
هل يوجد خطوط صرف صحي ضمن المنطقة الخاصة بعقاري ,يتم تحديد ذلك بعد الكشف الحسي وحسب الواقع والمخططات.
اين يمكن تقديم خدمة تجمع سكني ,يتم تقديم خدمة التجمع السكاني في شركة مياهنا / ادارة خدمات الزبائن-جبل الحسين والمعاملات للخدمة الفردية يتم تقديمها في  ادارة خدمات الزبائن -راس العين.
ماذا يلزم لانهاء معاملة نقل الخطوط ,"ليتم اعداد دراسة لنقل خط من قطعة ارض خاصة يجب تزويدنا بتقرير مساح مرخص من المواطن صاحب العقار ليتم فيه اثبات الاعتداء على القطعة وعليه يتم اعداد دراسة نقل الخط وحسب الامكانية الفنية , ثم يتم نقل الخط من خلال عطاءات شركة مياهنا لمعالجة مكاره صحية ونقل الخطوط. "
ما السبب لمرور خط رئيسي من قطعة ارض المواطن ,يتم تنفيذ خطوط الصرف الصحي بما يحقق الميول والانسياب الطبيعي ويتم المرور في الشوارع التنظيمية ما امكن واذا اجبرنا الميول المرور في قطع خاصة يتم ذلك من خلال اخذ موافقات وبتصديق مخططات.
ما هي الوثائق المطلوب إحضارها لتقديم طلب اشتراك مياه جديد,1. صورة عن الهوية الشخصية. 2. اذن اشغال (امانة عمان). 3. مخطط موقع تنظيمي (امانة عمان). 4. مخطط اراضي (دائرة الاراضي).
مرحبا,"مرحبا, كيف يمكنني مساعدتك "
اهلا,"مرحبا, كيف يمكنني مساعدتك "
هلا,"مرحبا, كيف يمكنني مساعدتك "
صباح الخير,"مرحبا, كيف يمكنني مساعدتك "
مساء الخير,"مرحبا, كيف يمكنني مساعدتك "
السلام عليكم ,"مرحبا, كيف يمكنني مساعدتك "
